frameno,tp-tri-count,fn-tri-count,true-positive,false-positive,false-negative,true-negative
146,1012011,0,126543,1443842,0,526767,22
147,1023525,0,127852,1468211,0,501089,24
148,1029601,0,128685,1499861,0,468606,18
149,981660,0,122639,1485672,0,488841,22
150,1009363,0,126134,1480236,0,490782,22
151,972741,0,121644,1470964,0,504544,19
152,992395,0,124061,1477402,0,495689,18
153,1015924,0,126975,1488577,0,481600,17
154,1043620,0,130431,1479064,0,487657,18
155,1072744,0,134110,1469619,0,493423,24
156,1065586,0,133220,1455340,0,508592,22
157,1047126,0,130806,1474218,0,492128,26
158,1012853,0,126434,1494341,0,476377,24
159,963297,0,120268,1473562,0,503322,23
160,991525,0,123876,1462673,0,510603,26
161,1009524,0,126357,1452479,0,518316,20
162,1048280,0,131063,1484526,0,481563,26
163,1026121,0,128220,1512701,0,456231,22
164,983305,0,122812,1484797,0,489543,22
165,966729,0,120748,1486837,0,489567,18
166,947120,0,118383,1446926,0,531843,18
167,1014932,0,126859,1477496,0,492797,18
168,1049307,0,131166,1474305,0,491681,18
169,1073047,0,134104,1465912,0,497136,22
170,1078109,0,134756,1465974,0,496422,18
171,1078579,0,134892,1449604,0,512656,22
172,1073832,0,134210,1471426,0,491516,24
173,1023213,0,127760,1470782,0,498610,24
174,956987,0,119551,1469971,0,507630,24
175,941535,0,117656,1470634,0,508862,16
176,889749,0,111317,1452479,0,533356,17
177,906135,0,113288,1486120,0,497744,17
178,934249,0,116881,1476131,0,504140,18
179,999754,0,124983,1478948,0,493221,20
180,1010959,0,126411,1475169,0,495572,18
181,941700,0,117715,1441049,0,538388,19
182,964731,0,120579,1462351,0,514222,22
183,973550,0,121546,1474088,0,501518,22
184,1044311,0,130402,1482553,0,484197,22
185,1042090,0,130251,1481416,0,485485,17
186,1012728,0,126677,1456526,0,513949,21
187,1007440,0,125910,1477020,0,494222,22
188,1030568,0,128711,1480639,0,487802,24
189,1023404,0,127741,1481777,0,487634,24
190,996405,0,124441,1460000,0,512711,24
191,937194,0,117184,1437562,0,542406,21
192,993176,0,124133,1456992,0,516027,24
193,975502,0,121863,1480319,0,494970,24
194,1040442,0,130033,1491344,0,475775,27
195,1012942,0,126539,1476607,0,494006,26
196,1003448,0,125378,1466336,0,505438,23
197,1026768,0,128186,1468782,0,500184,27
198,977856,0,122270,1482390,0,492492,18
199,1015549,0,126923,1495013,0,475216,22
200,990978,0,123939,1476775,0,496438,22
201,998686,0,125032,1445968,0,526152,21
